,Group,Title,,date,likes,comment,sentiment
30,NMIXX,O.O,,2022-02-22T14:56:20Z,2,이거 노래라고?..,0
31,NMIXX,"Young, Dumb, Stupid",,2024-02-02T08:31:40Z,3,이 노래가 타이틀곡이여야 하는데ㅠ 앨범 사고싶어ㅠ,2
32,NMIXX,"Young, Dumb, Stupid",,2023-03-12T16:12:24Z,0,와 설윤 똥 머리 겁나 잘 어울려 ㅎㄷㄷ,2
33,NMIXX,O.O,,2022-02-22T11:37:24Z,0,릴리 홧팅!! 앤믹스 홧팅!!,2
34,NMIXX,O.O,,2022-02-23T07:15:59Z,14,2022년 2월 2일 Nmixx 데뷔곡 이 뮤직비디오를 절대 잊지 못할거야!!!,2
35,NMIXX,Roller Coaster,,2023-07-03T09:28:00Z,0,엔믹스지우언니 대박나요,2
36,NMIXX,별별별 (See that),,2024-08-19T09:28:14Z,0,사랑해..............,2
37,NMIXX,Funky Glitter Christmas,,2023-01-23T09:00:48Z,2,규진...장규진 최고....배 지우도 좋아,2
38,NMIXX,O.O,,2022-02-23T03:42:06Z,0,When ITZY debuted with 달라달라 people will complaining that the song is so confusing and has too many different parts in it. I swear in a few years nobody will be complaining about O.O being “confusing” this will be the start of a cultural shift again,-
39,NMIXX,DICE,,2022-09-20T11:41:33Z,0,뭐여 이게?,0
40,NMIXX,DICE,,2022-09-19T13:45:32Z,0,애들 실력 좋고 외모 뭐 하나 빠지지 않는 애들인데 노래가 진짜 너무 당황스럽다ㅜㅜ 제왑 제발 믹스팝을 할 거면 좀 요즘스럽게 아니면 멤버랑 어울리게 해주세요ㅜㅜㅜ o.o는 중독성 쩔고 탱크도 진짜 괜찮았는데 또 비슷한 곡 넘 아쉽,0
41,NMIXX,"Young, Dumb, Stupid",,2023-09-23T02:04:45Z,0,[] “우린 인연이 아닌 것 같아요“ 엇갈린 사랑과 전쟁 과연 그녀들의 선택은…? #짝꿍 #NMIXXIN무한도전 EP.6 | PICK NMIXX youtu.be/JYlxNCuYcRM,1
42,NMIXX,Roller Coaster,,2023-07-09T17:40:31Z,2,부담없이 듣기 편한 곡으로 선공개 잘뽑았네... 타이틀은 뭐길래.,2
43,NMIXX,DICE,,2022-09-19T09:16:18Z,146,난 후반이 너무 좋다!이번컴백도 기대된다!!활동 화이팅 nmixx,2
44,NMIXX,별별별 (See that),,2024-08-20T13:23:18Z,1,저는 이번 지난 앨범들에 이어 너무 좋습니다. 노래 잘하는거 알고 있고 이쁜거 알고 있어. 그래서 너네가 더 할 수있는게 뭔데? 라고 했을때 올드스쿨힙합으로 타이틀을... 이거 저는 존나 힙합이라고 생각했습니다. 아직 할 수 있는게 많고 보여줄게 많은 jyp와 4본의 의지 같기도하구요. 돈이 급하고 어려우면 대세를 따르겠죠 뭐.,2
45,NMIXX,Roller Coaster,,2023-07-04T04:52:25Z,1,있지 보면서 울다가 엔믹스 보면서 웃다가 무한 반복 하는 중임...,2
46,NMIXX,DASH,,2024-02-03T12:58:19Z,4,와 대박....대박!!,2
47,NMIXX,Soñar (Breaker),,2024-02-15T12:12:44Z,0,최소한 이건 노래가 신나잖아,2
48,NMIXX,DICE,,2022-09-19T09:43:08Z,0,@-x7m それなめちゃ通報してるけど増える一方…,-
49,NMIXX,DICE,,2022-09-19T10:55:21Z,0,전에 본 적이없는 아름답고 혁신적인 노래 ️나는 너를 사랑해 투쟁 여자들,2
50,NMIXX,별별별 (See that),,2024-08-19T09:50:05Z,321,여름 끝자락에 신나게 즐겨들을 만하네 약간 서태지 컴백홈 느낌도 나구 짱믹스다,2
51,NMIXX,Soñar (Breaker),,2023-12-06T10:34:40Z,3,진짜 엔믹스는 캐치한 건 없는 느낌인데 매번 참고 딱 10번만 들으면 무조건 빠짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 노래 좋다,2
52,NMIXX,별별별 (See that),,2024-08-19T12:02:19Z,1,개인적으로 별별별 할때 특 느낌나서 재미있는 노래같음 굿굿,2
53,NMIXX,DASH,,2024-01-18T07:47:43Z,0,NMIXX - &#39;DASH&#39; Karaoke With Easy Lyrics https://youtu.be/RE-vsrEKS18?si=lKEUHiZ7KUtt9Tvd #NMIXX #엔믹스 #DASH,-
54,NMIXX,Love Me Like This,,2023-03-20T09:54:26Z,2,확인되었습니다. nmixx는 그들의 컴백에 결코 실망하지 않았습니다.,2
55,NMIXX,별별별 (See that),,2024-08-19T09:24:55Z,1,사랑해...,2
56,NMIXX,별별별 (See that),,2024-08-25T15:49:01Z,1,@ 개인적으로는 충분하지는 않지만 만족스러운 곡인거 같아요.,2
57,NMIXX,Party O’Clock,,2023-08-27T09:10:15Z,4,1집때보단 점점 나아지긴 했는데 정말 선곡 문제군. 왜 매번 기본적으로 비트와 멜로디가 평범한걸 선곡하는지 정말 이해가 안되네 보조 사운드로 아무리 포장하고 떡칠해도 기본베이스 비트와 멜로디가 별로면 모두 소용없는 짓인걸 모르나? 자체작곡가 역량이 딸리면 대형사에 데모곡들 엄청나게 들어 올텐데 외부곡에서 그중에서 골라도되고 그런데 데뷔전 영상보면서 정말 기대가 크고 애들 댄스 보컬 비쥬얼 삼박자가 수준이 정말 높아서 응원했는데 현재 4세대. 아이돌중에 가장 밑바닥 신세로 재능 낭비중 지금까지 이정도면 누가 선곡담당자인지 정말 재능이 없는 사람이다 다른 대형사들 아이돌 곡들고 나오는거 보라고 정말 신선하고 비트좋고 멜로디 좋고 그러니 대박나지 멤버들 재능이 아무리 좋으면 뭐하나 선곡재능이 꽝수준 막귀인데 농담삼아 유재석 탑백귀는 아니어도 탑200귀만 되어도 지금보다는 나을텐데 정말 문제군 중소돌이었으면 진작에 퇴출되었을텐데 jyp 빨로 버티는데 언제까지 갈지 안타깝다,0
58,NMIXX,DASH,,2024-01-28T13:55:16Z,3,세련돼졌네 랩도 찰지고,2
59,NMIXX,"Young, Dumb, Stupid",,2023-03-12T20:14:06Z,0,엔믹스 Young Dumb Stupid 신곡 대박 꽃길만 걷고 음악방송 1위 가자!!!,2
60,NMIXX,DASH,,2024-01-15T17:27:40Z,2,와 쒯,2
61,NMIXX,별별별 (See that),,2024-08-19T21:51:39Z,187,라이브 너무 기대되고.. 엔믹스만의 색깔대로 가는게 너무 좋음. 앞으로도 이렇게 남들 말대로 대중성만 무작정 쫓아가는 것이 아닌 엔믹스의 정체성대로 쭉 가줬음 좋겠음,2
62,NMIXX,DICE,,2022-10-03T16:10:18Z,2,처음에 듣었을때 이런 느낌의 노래는 처음이라 생소했는데 계속 듣다보니깐 중독성이..ㄷㄷ 진짜 비트 듣으면 듣을수록 너무 좋아요 진짜 비트 체인지 할때도 너무 좋아요 진짜ㅏ 빅웨이브 이부분!! 계속 생각나구 릴리님 파트 진짜 중독성이 계속 따라부르게 됩니다ㅠ 이번 노래 처음엔 다들 별로다 하셨는데 지금은 진짜 중독성도 쩔고 노래 넘 좋아요!! 다들 실력이 너무 좋으시고 너무 이쁘셔서 노래 진짜 떴으면 좋겠어요ㅠㅠ 진짜 코디도 이쁘고 이번곡은 다 잘 어울리시지만 규진님이랑 릴리님 혜원님도 잘 어울리시는것 같아요! 담 컴백에서는 파트 분배를 좀더 잘해주셨스면 합니다! 다음 활동도 응원할게요 엔믹스!,2
63,NMIXX,DICE,,2022-09-19T15:08:48Z,1,이미지를 대중한테 각인 시키는게 중소이던 대형이던 중요한데…그나마 O.O는 한5번 들으니 귀에는 익어서 엄청 이상하지는 않았는데 이번 노래는 몇번을 들어도 귀에 안익음… 걸그룹명가 jyp도 옛말이 된건지… 있지 이후에 좀 빨리 데뷔한 감은 있긴 했다만 실력은 다 좋은데 어딘가 조합이나 컨셉 이런게 준비가 안된것 같아서 좀 아쉽네요… O.O 잘 들었던 사람으로서 이번에 역대급 노래로 좋은평가 얻고 4세대에서 자리 잡기를 바랬었는데…,0
64,NMIXX,DICE,,2022-09-19T15:26:30Z,58,오오 첨들었을때 구간 넘길때마다 진짜 다른곡인줄 알정도로 난해하긴했었음...신선한 느낌도 물론 있었다만 너무 대중성이 없어서 실력에 비해 안뜬 느낌...브이라이브로 많이 인지도도 알려서 다행인거지 그래도 이번 곡은 기대했는데...최소한 싸비부분은 통일시켜주시지ㅠ 장르 체인지되는 부분이 필요이상으로 많네요. 뮤비 댓글에 이렇게 벌써 피드백이 달릴정도면 회사측도 다시생각해봤으면 싶음. 또 아쉬운곤 실력은 정말 탑급이지만 창법 면에서도 콧소리와 기교 꺾기가 좀 과하게 느겨질 때가 있음. 특히 지우.. 창법을 살짝만 부드럽게 바꿔도 덜 부담될 것 같은데...설윤과 릴리가 듣기 편한 이유가 분명히 있음...,2
65,NMIXX,DASH,,2024-01-15T21:29:24Z,59,너무 멋지네요 NMIXX 정말 노력했어요 응원합시다,2
66,NMIXX,Roller Coaster,,2023-07-04T05:45:14Z,3,릴리 앞으로 계속 굵은 웨이브 넣어주길.. 개이뻐,2
67,NMIXX,Party O’Clock,,2024-06-09T11:54:24Z,5,이런 노래가 왜 안떴는지 의문만 들뿐…,2
68,NMIXX,DICE,,2022-09-28T02:43:17Z,4,엔믹스 너무 예쁘다.이버 신곡 대박나자 아무리 악플 받아도 힘들어 하지마 엔믹스를 좋아해주는 사람이 더 많으니까 힘내 옥정중,2
69,NMIXX,O.O,,2022-08-31T02:29:18Z,0,사랑해요🫀️,2
70,NMIXX,"Young, Dumb, Stupid",,2023-04-13T22:21:06Z,3,예술 작품 이 노래,2
71,NMIXX,DICE,,2022-09-19T09:15:58Z,0,아직 듣기전인데 제발 노래 좋아라 좋아라 엔믹스 진짜 떡상해야함,2
72,NMIXX,Roller Coaster,,2023-07-03T09:01:55Z,1,어머…어머… my baby들 장하다,2
73,NMIXX,O.O,,2024-03-14T07:47:13Z,0,2년지나고 다시왔다,2
74,NMIXX,별별별 (See that),,2024-08-19T09:03:21Z,0,웅장하다 ..,2
75,NMIXX,DASH,,2024-01-17T07:28:14Z,8,엔믹스 그룹의 정체성임. 믹스팝 장르를 자신들 그룹명처럼 정체성으로 만든거라 그럼. 그래도 이번에 나온거는 믹스팝을 자연스럽게 적절히 섞은 느낌이라 나는 괜찮게 들음.,2
76,NMIXX,DASH,,2024-01-15T15:22:25Z,4,이번 컴백은 배이 해원 둘이 특히 레전드인 듯,2
77,NMIXX,Party O’Clock,,2023-07-11T11:07:37Z,1,튀는것 같은건 나만 그런거?,0
78,NMIXX,DICE,,2022-09-19T10:59:49Z,1,제왑 이게... 최선이야?......,0
79,NMIXX,O.O,,2022-02-28T07:34:39Z,0,이거 몰카 아니지...?,0
80,NMIXX,DASH,,2024-01-15T09:00:29Z,0,왔다,2
81,NMIXX,Soñar (Breaker),,2023-12-04T11:04:30Z,0,아아아아아아 미쳤자나,2
82,NMIXX,DASH,,2024-01-16T08:49:40Z,7,친애하는 Lily 나는 모든 것을 알고 있습니다. 당신에게는 팬이 있습니다. 그것은 나와 다른 사람들입니다 !! Изменить: аоаоао 5 лайков это мой рекорд (우오오오 좋아요 5개는 내 기록) (아오아 좋아요 5개는 내 기록) изменено:уже 6 лайков?! Чо так быстро ребята вы лучшие (6 likes already?! (Why so fast you guys are the best)(벌써 좋아요 6개?! 왜 이렇게 빨리요 너희들이 최고야),2
83,NMIXX,별별별 (See that),,2024-08-19T14:01:38Z,1,근데 스케일이 너무 커서 잠깐 멀리하고 기대하고만 있었는데 너무 좋아서 스토리영상 안봤던거 후회됨 진짜 타이틀 개좋음,2
84,NMIXX,DICE,,2022-09-19T10:35:58Z,0,샤샤,2
85,NMIXX,DICE,,2024-01-27T06:53:52Z,0,백만 달러짜리 이야기 이 노래는 우리 수업에 포함되었고 나는 그 중 하나를 알고 춤을 추었습니다. 나는 사회 혐오자이며 춤을 추고 나서 공황 발작을 일으켰습니다. 결론:나는 히스테리에있어 25 사람들은 구석에 나를 진정,-
86,NMIXX,DICE,,2022-09-27T13:45:24Z,0,한국어 자막 왜 없어요? 섭섭한데요?,0
87,NMIXX,O.O,,2022-02-22T12:21:15Z,1,몬노래가 이리 정신없나... 너무기대해서 실망도 크다......,0
88,NMIXX,Party O’Clock,,2023-07-19T06:27:23Z,5,음판은 100만인데 음원은 탑100 들은데가 없누 남돌이가? 음판높고 음원은 저쪼아래인거 따라하누,0
89,NMIXX,Soñar (Breaker),,2023-12-04T09:00:18Z,1,드가자~,2
90,NMIXX,DICE,,2022-09-19T09:04:25Z,0,와 노래 좋다 이번에!!!,2
91,NMIXX,DICE,,2024-09-09T07:31:47Z,1,음악이 안맞아도 기분은 너무 좋아요,1
92,NMIXX,O.O,,2022-02-22T11:29:58Z,0,당신은 아주 좋은 일을했습니다!,2
93,NMIXX,Roller Coaster,,2024-02-26T03:42:40Z,3,와 .. 진짜 이 컨셉으로 계속 가야겠다 엔믹스는..,2
94,NMIXX,"Young, Dumb, Stupid",,2024-06-05T02:34:48Z,0,아유 슬리핑 아유 슬링핑,0
95,NMIXX,蜚蜚 (FEIFEI),,2024-07-31T09:08:49Z,0,이거 커버에요? 아님 중국 싱글? 이거 그 … 무슨노래지 린노래아닌가 소화 잘하네요,0
96,NMIXX,별별별 (See that),,2024-08-26T18:05:13Z,3,동감한다,1
97,NMIXX,Soñar (Breaker),,2023-12-04T10:03:53Z,0,jyp는 정말 더 이상 창의력을 발휘하는 방법을 모릅니다.,0
98,NMIXX,별별별 (See that),,2024-08-20T02:47:37Z,0,어설픈 귀를 달고사나봐,0
99,NMIXX,DICE,,2022-09-19T09:08:55Z,0,워메… 좋은데?,2
100,NewJeans,How Sweet,,2024-05-26T17:01:45Z,0,님 커여운토끼쟝 채널 쇼츠 표절해명 거기 댓글 봐보세요 토요일날에 알았는데 나중에 거기 댓글단거임,1
101,NewJeans,OMG,,2024-05-31T21:52:03Z,5,단월드 ㅋㅋ,0
102,NewJeans,ETA,,2023-08-02T03:34:46Z,272,뉴진스는 다른 걸그룹들이랑 다르게 걸크러쉬적인 느낌보단 청초한 느낌이 들면서 청초함과 강렬함이 함께 느껴지는 그룹입니다. 독보적인 색깔과 MZ들의 취향의 또 다르게 깨부슨거 같아 너무 좋은 그룹같아요.,2
103,NewJeans,OMG,,2024-05-05T11:51:30Z,37,단월드가 청소년들한테 개인의 주체성 사라지고 단신에게 충성심을 증명하게하려고 일부러 제대로할때까지 계속 괴성지르게하는 의식절차가 있다는데 내가 누군지 헷갈렸다는 저 멘트 진짜 의미심장함,0
104,NewJeans,Cool With You' & 'Get Up' (side B),,2023-08-11T17:34:29Z,0,정호연=에로스(큐피드) 마이콜베라(남자배우)=푸시케 양조위=아프로디테(에로스 어머니) 그리스로마신화중 푸시케 관련 이야기 보세요.,1
105,NewJeans,How Sweet,,2024-06-06T11:00:56Z,13,좋아요가 69만밖에 없는게 이게 말이되나???,0
106,NewJeans,OMG,,2024-05-01T12:04:08Z,1,언제까지 부정할려구 ㅋㅌㅋㅋㅋ,0
107,NewJeans,OMG,,2024-04-28T15:35:33Z,7,계속 삭제 당하고 있는중.. 가사 -단 너 뿐이야 곰 - 단군 신화를 차용한 단월드 신앙의 상징 다니엘 - 성경에서 하나님의 심판자 천사를 의미  - 상담해 주는 의사    - 곰이 의사로 치환되는 연출. 또 치환된 후에 의사는 인형처럼 아무런 표정이 없음  의사는 사내 상담자이면서 단월드 측 감시자를 대변하는 인물임(병동 장면 곳곳에서 곰인형이 포착됨 = 사내에 감시자가 있다)  - 동화의 마지막 목차 the Revenant (곰한테 사지 찢긴 주인공이 투항해서 살아남는 내용의 책)  -신도가 의도적으로 화면에 걸린 연출과 함께 거기 타고 있는 혜인(오른쪽 위에 보시면 작게 “신도”라는 글씨가 있음)  - 심판자 다니엘과 다니엘을 뒤로하고 도망치듯 나가는 &#39;혜인&#39;  - 성냥팔이 소녀의 모습을 한 혜인이 촛불을 켜자 사과가 보임 (*성냥팔이 소녀: 촛불을 켜면 자신의 이상이 반영된 환상이 보이는 동화 *사과: 유혹 독 선악과 상징)  - 결국 사과를 베어물고 쓰러진 혜인  - 구하러 가는 다니엘(하나님의 심판자 천사)  - 죽은 다니엘과 쓰러진 혜인 그리고 곰(단월드 상 징) 정신병원과 관계자 - 단월드와 신도 의사 - 단월드의 눈(감시자) 정신병원에서 뉴진스는 단 너 뿐이야 단신 찬양 노래를 부르는 환자로 묘사됨  - &#39;다니엘&#39;의 발언 얘들아 이거 뮤직비디오 촬영 이야  우리는 연기를 하고 있다 이 노래는 우리(뉴진스 민희진)의 의지가 아니다  - 침묵하는 관계자(단월드 사상을 주입하고 외압 을 넣어 이런 노래를 만들도록 지시한 하0브) 마지막으로 다니엘의 말과 민지의 이제 그만과 함께 끝 난 곡  - 정신병자(단월드 신도로 묘사된 뉴진스)가 그린 곰(단월드)과 곰이 세상을 어지럽히는 환상을 보는 침착맨  단월드가 세상에 만연해 있다 세상을 어지럽히고 있다 뮤비에서 민지가 두명으로 나오는데 기자회견에서 민희진이 민지를 아낀다고 언급함 그래서 민지에게 자신의 모습을 투영한것으로봄 의사가운입은 민지(민희진)를 보면 애들을 체포?해서 정신병원으로 데려감 민희진이 애들을 캐스팅해서 하이브로 데려가는것 어떤분이 쓴댓글이지만 계속 삭제를 당하고 있어서 복붙이라도 해봅니다.,0
108,NewJeans,How Sweet,,2024-05-27T11:56:41Z,9,외국 댓글이 하나두 안보 이다니 헐 ㄷㄷ,0
109,NewJeans,OMG,,2024-04-28T16:05:29Z,1,넘 무섭다,0
110,NewJeans,New Jeans,,2023-07-08T13:41:22Z,0,감 뒤진건 너고 ㅋㅋㅋㅋㅋㅋ,0
111,NewJeans,How Sweet,,2024-06-11T14:30:59Z,2,운전미숙,0
112,NewJeans,Supernatural (Part.2),,2024-07-05T03:24:07Z,4,나도 모르게 일본어로 따라 흥얼거리다 한국말 나와서 놀램 🫶한국활동 기대된다구,2
113,NewJeans,Ditto (side B),,2024-04-29T17:01:25Z,0,사이드 a - ㅁㅎㅈ남아서 혼자가되고 멤버들 탈출 사이드 b - ㅁㅎㅈ은 탈출하고 멤버들은 곰 끌어안으며 포교당했다는 연출,0
114,NewJeans,Bubble Gum,,2024-05-02T03:13:02Z,8,민희진 ㅈㅅ당할까봐ㅠ걱정. 24시간 캠달고다녀야 하는거아니냐고,0
